run_idx,algorithm,dataset_size,epsilon,proportions,proportion_key,reset_mode,extra_terminal_steps,seed,status,error,feature_coverage,elapsed_seconds
123,FOGAS,12000,0.7,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),65391.06541138128,15.032775121973827
124,FOGAS,16000,0.7,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),65391.57711726964,18.524936442961916
125,FOGAS,20000,0.7,20% optimal-eps / 80% random,20_80,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),65391.11349320376,21.989881860790774
126,FOGAS,4000,0.0,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),124274.14623233498,13.251559294993058
127,FOGAS,8000,0.0,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),102278.0180354627,13.460296662058681
128,FOGAS,12000,0.0,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),82618.0147804454,15.040747641120106
129,FOGAS,16000,0.0,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),82625.0332752906,18.477752594044432
130,FOGAS,20000,0.0,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),82630.81851665293,21.970157847041264
131,FOGAS,4000,0.1,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),124274.14623233498,13.286175752989948
132,FOGAS,8000,0.1,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),102278.0180354627,13.465452084783465
133,FOGAS,12000,0.1,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),82618.0147804454,15.012316705891863
134,FOGAS,16000,0.1,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),82625.0332752906,18.522238903911784
135,FOGAS,20000,0.1,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),82630.81851665293,22.09464095812291
136,FOGAS,4000,0.3,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),124274.14623233498,13.107670130906627
137,FOGAS,8000,0.3,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),102278.0180354627,13.448671035002917
138,FOGAS,12000,0.3,0% optimal-eps / 100% random,0_100,custom_x0,3,42,failed,RuntimeError('indices should be either on cpu or on the same device as the indexed tensor (cpu)'),82618.0147804454,15.065599956084043
