n_centers,ridge,sigma_mult,base_sigma,sigma,feature_dim,converged,status,error,elapsed_seconds
74,1e-06,0.6,0.11368804731311707,0.06821282838787024,300,False,ok,,0.32582534686662257
74,1e-06,0.8,0.11368804731311707,0.09095043785049367,300,False,ok,,0.32710958318784833
74,1e-06,1.0,0.11368804731311707,0.11368804731311707,300,False,ok,,0.32591728679835796
74,0.0001,0.05,0.11368804731311707,0.005684402365655854,300,False,ok,,0.32661481481045485
74,0.0001,0.1,0.11368804731311707,0.011368804731311709,300,False,ok,,0.32551754801534116
74,0.0001,0.2,0.11368804731311707,0.022737609462623418,300,False,ok,,0.32735798181965947
74,0.0001,0.4,0.11368804731311707,0.045475218925246835,300,False,ok,,0.32527612894773483
74,0.0001,0.6,0.11368804731311707,0.06821282838787024,300,False,ok,,0.32821077993139625
74,0.0001,0.8,0.11368804731311707,0.09095043785049367,300,False,ok,,0.3272192729637027
74,0.0001,1.0,0.11368804731311707,0.11368804731311707,300,False,ok,,0.33372197300195694
74,0.01,0.05,0.11368804731311707,0.005684402365655854,300,False,ok,,0.32694465410895646
74,0.01,0.1,0.11368804731311707,0.011368804731311709,300,False,ok,,0.3265235049184412
74,0.01,0.2,0.11368804731311707,0.022737609462623418,300,False,ok,,0.32475434988737106
74,0.01,0.4,0.11368804731311707,0.045475218925246835,300,False,ok,,0.3249502500984818
74,0.01,0.6,0.11368804731311707,0.06821282838787024,300,False,ok,,0.3251979479100555
74,0.01,0.8,0.11368804731311707,0.09095043785049367,300,False,ok,,0.3273753721732646
74,0.01,1.0,0.11368804731311707,0.11368804731311707,300,False,ok,,0.3260906070936471
74,0.1,0.05,0.11368804731311707,0.005684402365655854,300,False,ok,,0.32324187410995364
74,0.1,0.1,0.11368804731311707,0.011368804731311709,300,False,ok,,0.32873764797113836
74,0.1,0.2,0.11368804731311707,0.022737609462623418,300,False,ok,,0.3253922089934349
74,0.1,0.4,0.11368804731311707,0.045475218925246835,300,False,ok,,0.3245428509544581
74,0.1,0.6,0.11368804731311707,0.06821282838787024,300,False,ok,,0.32786343106999993
74,0.1,0.8,0.11368804731311707,0.09095043785049367,300,False,ok,,0.3249216398689896
74,0.1,1.0,0.11368804731311707,0.11368804731311707,300,False,ok,,0.3242263509891927
74,1.0,0.05,0.11368804731311707,0.005684402365655854,300,False,ok,,0.3258990370668471
74,1.0,0.1,0.11368804731311707,0.011368804731311709,300,False,ok,,0.3293640960473567
74,1.0,0.2,0.11368804731311707,0.022737609462623418,300,False,ok,,0.32495242008008063
74,1.0,0.4,0.11368804731311707,0.045475218925246835,300,False,ok,,0.3231021948158741
74,1.0,0.6,0.11368804731311707,0.06821282838787024,300,False,ok,,0.3248775110114366
74,1.0,0.8,0.11368804731311707,0.09095043785049367,300,False,ok,,0.3239942421205342
74,1.0,1.0,0.11368804731311707,0.11368804731311707,300,False,ok,,0.32464195089414716
74,10.0,0.05,0.11368804731311707,0.005684402365655854,300,False,ok,,0.3251171500887722
74,10.0,0.1,0.11368804731311707,0.011368804731311709,300,False,ok,,0.32837134995497763
74,10.0,0.2,0.11368804731311707,0.022737609462623418,300,False,ok,,0.324283811962232
74,10.0,0.4,0.11368804731311707,0.045475218925246835,300,False,ok,,0.3244046620093286
74,10.0,0.6,0.11368804731311707,0.06821282838787024,300,False,ok,,0.32364935404621065
74,10.0,0.8,0.11368804731311707,0.09095043785049367,300,False,ok,,0.32372567313723266
74,10.0,1.0,0.11368804731311707,0.11368804731311707,300,False,ok,,0.3265640651807189
