run_idx,stage,metric,alpha,rho,eta,T,D_theta,state_weight_update,c_min,D_pi,per_run_metric_1
212,grid,0.8010638064134422,0.001,0.5,0.0001,2000,1.0,clipped,0.1,2.0,0.8010638064134422
213,grid,0.8010638064134422,0.001,0.5,0.0001,2000,1.0,clipped,0.2,2.0,0.8010638064134422
214,grid,0.8010638064134422,0.001,0.5,0.0001,2000,2.0,clipped,0.0,4.0,0.8010638064134422
215,grid,0.8010638064134422,0.001,0.5,0.0001,2000,2.0,clipped,0.1,4.0,0.8010638064134422
216,grid,0.7701747508724991,0.001,0.5,0.0001,2000,2.0,clipped,0.2,4.0,0.7701747508724991
217,grid,0.8010638064134422,0.001,1.0,0.0001,2000,0.5,clipped,0.0,1.0,0.8010638064134422
218,grid,0.8010638064134422,0.001,1.0,0.0001,2000,0.5,clipped,0.1,1.0,0.8010638064134422
219,grid,0.8010638064134422,0.001,1.0,0.0001,2000,0.5,clipped,0.2,1.0,0.8010638064134422
220,grid,0.8010638064134422,0.001,1.0,0.0001,2000,1.0,clipped,0.0,2.0,0.8010638064134422
221,grid,0.8010638064134422,0.001,1.0,0.0001,2000,1.0,clipped,0.1,2.0,0.8010638064134422
222,grid,0.8010638064134422,0.001,1.0,0.0001,2000,1.0,clipped,0.2,2.0,0.8010638064134422
223,grid,0.8010638064134422,0.001,1.0,0.0001,2000,2.0,clipped,0.0,4.0,0.8010638064134422
224,grid,0.8010638064134422,0.001,1.0,0.0001,2000,2.0,clipped,0.1,4.0,0.8010638064134422
225,grid,0.7701747508724991,0.001,1.0,0.0001,2000,2.0,clipped,0.2,4.0,0.7701747508724991
226,grid,0.8010638064134422,0.001,0.001,0.001,2000,0.5,clipped,0.0,1.0,0.8010638064134422
227,grid,0.8010638064134422,0.001,0.001,0.001,2000,0.5,clipped,0.1,1.0,0.8010638064134422
228,grid,0.8010638064134422,0.001,0.001,0.001,2000,0.5,clipped,0.2,1.0,0.8010638064134422
229,grid,0.8010638064134422,0.001,0.001,0.001,2000,1.0,clipped,0.0,2.0,0.8010638064134422
230,grid,0.7701747508724991,0.001,0.001,0.001,2000,1.0,clipped,0.1,2.0,0.7701747508724991
231,grid,0.7701747508724991,0.001,0.001,0.001,2000,1.0,clipped,0.2,2.0,0.7701747508724991
232,grid,0.8010638064134422,0.001,0.001,0.001,2000,2.0,clipped,0.0,4.0,0.8010638064134422
233,grid,0.7701747508724991,0.001,0.001,0.001,2000,2.0,clipped,0.1,4.0,0.7701747508724991
234,grid,0.7701747508724991,0.001,0.001,0.001,2000,2.0,clipped,0.2,4.0,0.7701747508724991
235,grid,0.8010638064134422,0.001,0.01,0.001,2000,0.5,clipped,0.0,1.0,0.8010638064134422
236,grid,0.8010638064134422,0.001,0.01,0.001,2000,0.5,clipped,0.1,1.0,0.8010638064134422
237,grid,0.8010638064134422,0.001,0.01,0.001,2000,0.5,clipped,0.2,1.0,0.8010638064134422
238,grid,0.8010638064134422,0.001,0.01,0.001,2000,1.0,clipped,0.0,2.0,0.8010638064134422
239,grid,0.7701747508724991,0.001,0.01,0.001,2000,1.0,clipped,0.1,2.0,0.7701747508724991
240,grid,0.7701747508724991,0.001,0.01,0.001,2000,1.0,clipped,0.2,2.0,0.7701747508724991
241,grid,0.8010638064134422,0.001,0.01,0.001,2000,2.0,clipped,0.0,4.0,0.8010638064134422
242,grid,0.7701747508724991,0.001,0.01,0.001,2000,2.0,clipped,0.1,4.0,0.7701747508724991
243,grid,0.7701747508724991,0.001,0.01,0.001,2000,2.0,clipped,0.2,4.0,0.7701747508724991
244,grid,0.8010638064134422,0.001,0.1,0.001,2000,0.5,clipped,0.0,1.0,0.8010638064134422
245,grid,0.8010638064134422,0.001,0.1,0.001,2000,0.5,clipped,0.1,1.0,0.8010638064134422
246,grid,0.8010638064134422,0.001,0.1,0.001,2000,0.5,clipped,0.2,1.0,0.8010638064134422
247,grid,0.8010638064134422,0.001,0.1,0.001,2000,1.0,clipped,0.0,2.0,0.8010638064134422
248,grid,0.7701747508724991,0.001,0.1,0.001,2000,1.0,clipped,0.1,2.0,0.7701747508724991
